Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Enclosure ","Casing",1,13.00,"https://souptik.me","@Souptik Samanta"
"PCB","Circuit board",5,11.30,"https://jlcpcb.com","Aliexpress"
"Li-Ion Battery","Powering the system",1,13.60,"https://www.aliexpress.com/item/1005010294217532.html?spm=a2g0o.productlist.main.15.1cdcRmhtRmhtY5&algo_pvid=1337fa90-1761-4d9b-995c-af85eacdf769&algo_exp_id=1337fa90-1761-4d9b-995c-af85eacdf769-14&pdp_ext_f=%7B""order""%3A""6""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%218.26%216.53%21%21%218.26%216.53%21%402140f54217758104109837098edc7c%2112000051823331287%21sea%21BD%217350065947%21X%211%210%21n_tag%3A-29911%3Bd%3A8c992529%3Bm03_new_user%3A-29895&curPageLogUid=1mRG2rZOvBjk&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010294217532%7C_p_origin_prod%3A","Aliexpress"
"47k ohm resistor ","Voltage limitation",1,1.47,"https://www.aliexpress.com/item/1005007643355619.html?spm=a2g0o.productlist.main.6.6dd85e1dn7IHeI&algo_pvid=63a9009a-9682-49e5-a520-d00050b06395&algo_exp_id=63a9009a-9682-49e5-a520-d00050b06395-5&pdp_ext_f=%7B""order""%3A""425""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%210.63%210.63%21%21%214.25%214.25%21%40212e509017757159671843563e29e8%2112000041626611289%21sea%21BD%217350065947%21X%211%210%21n_tag%3A-29911%3Bd%3A8c992529%3Bm03_new_user%3A-29895&curPageLogUid=ZZgwX0ljLBmz&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007643355619%7C_p_origin_prod%3A","Aliexpress"
"10 k ohm Resistor","Voltage regulation",2,1.47,"https://www.aliexpress.com/item/1005007643355619.html?spm=a2g0o.productlist.main.6.6dd85e1dn7IHeI&algo_pvid=63a9009a-9682-49e5-a520-d00050b06395&algo_exp_id=63a9009a-9682-49e5-a520-d00050b06395-5&pdp_ext_f=%7B""order""%3A""425""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%210.63%210.63%21%21%214.25%214.25%21%40212e509017757159671843563e29e8%2112000041626611289%21sea%21BD%217350065947%21X%211%210%21n_tag%3A-29911%3Bd%3A8c992529%3Bm03_new_user%3A-29895&curPageLogUid=ZZgwX0ljLBmz&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007643355619%7C_p_origin_prod%3A","Aliexpress"
"10uf Capacitor","Voltage regulation",2,0.93,"https://www.aliexpress.com/item/32910379011.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.2.66807A9Z7A9ZOt&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=c6567032-e667-4142-bd4f-a563763045b9&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:c6567032-e667-4142-bd4f-a563763045b9,tpp_buckets:668%232846%238109%231935&pdp_ext_f=%7B""order""%3A""1378""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""sceneId""%3A""30050""%2C""fromPage""%3A""recommend""%7D&pdp_npi=6%40dis%21USD%210.73%210.66%21%21%210.73%210.66%21%402140e67317757156935178962e478c%2112000027302961998%21rec%21BD%217350065947%21XZ%211%210%21n_tag%3A-29911%3Bd%3A8c992529%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A32910379011%7C_p_origin_prod%3A","Aliexpress"
"HT7533 Regulator","power regulation",1,1.84,"https://www.aliexpress.com/item/1005009450888436.html?spm=a2g0o.productlist.main.1.68afTKfPTKfPsQ&algo_pvid=b26e8a19-196c-447a-9517-5ad837382a80&algo_exp_id=b26e8a19-196c-447a-9517-5ad837382a80-0&pdp_ext_f=%7B""order""%3A""28""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%211.24%211.24%21%21%218.41%218.41%21%400b1bf20817757155019522498ec7ea%2112000049144481466%21sea%21BD%217350065947%21X%211%210%21n_tag%3A-29911%3Bd%3A8c992529%3Bm03_new_user%3A-29895&curPageLogUid=toqDacYvFFMW&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009450888436%7C_p_origin_prod%3A","Liexpress"
"Cherry MX switches","Navigation and interaction",10,9.51,"https://www.aliexpress.com/item/1005010811924261.html?spm=a2g0o.productlist.main.21.41aabJh7bJh721&algo_pvid=39bfa58c-7d1a-45ad-b063-4e62ee2b5e24&algo_exp_id=39bfa58c-7d1a-45ad-b063-4e62ee2b5e24-18&pdp_ext_f=%7B""order""%3A""11""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%219.51%219.51%21%21%2164.65%2164.65%21%402151e6dc17757152322953763ef333%2112000053573799665%21sea%21BD%217350065947%21X%211%210%21n_tag%3A-29911%3Bd%3A8c992529%3Bm03_new_user%3A-29895&curPageLogUid=6eGc3drkEWZC&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010811924261%7C_p_origin_prod%3A","Aliexpress"
"Micro Sd card breakout board","Micro Sd card insertion",1,9.57,"https://www.aliexpress.com/item/1005008945784694.html?dp=gx-row-aliexpress-aliexpress-cos&aff_fcid=d453835075f641abb2c337b635a739ba-1775715107330-06939-_onWzMZC&tt=CPS_NORMAL&aff_fsk=_onWzMZC&aff_platform=portals-tool&sk=_onWzMZC&aff_trace_key=d453835075f641abb2c337b635a739ba-1775715107330-06939-_onWzMZC&terminal_id=cc9928b8bb934f2f8e701a8f5f461bd1&afSmartRedirect=y","Aliexpress"
"EC-11 Rotary encoder","Volume controll",1,4.33,"https://www.aliexpress.com/item/1005006693443387.html?spm=a2g0o.productlist.main.3.1cdc2c6arc5vhp&algo_pvid=528a800d-0c28-4720-b1da-cc605dd40f35&algo_exp_id=528a800d-0c28-4720-b1da-cc605dd40f35-2&pdp_ext_f=%7B""order""%3A""379""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%2110.52%2110.52%21%21%2171.53%2171.53%21%40212e508f17757149486635983e0f3a%2112000048311239361%21sea%21BD%217350065947%21X%211%210%21n_tag%3A-29911%3Bd%3A8c992529%3Bm03_new_user%3A-29895&curPageLogUid=urjIy0iKkdIj&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006693443387%7C_p_origin_prod%3A","Aliexpress"
" 2.8 Inch SPI TFT Display","Display",1,9.99,"https://www.aliexpress.com/item/1005006101637383.html?spm=a2g0o.productlist.main.21.562c5axs5axsR6&algo_pvid=e62cb2af-828c-4b7e-a47d-2fcbcd68862e&algo_exp_id=e62cb2af-828c-4b7e-a47d-2fcbcd68862e-18&pdp_ext_f=%7B""order""%3A""144""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%2119.04%219.52%21%21%21129.44%2164.72%21%402141131717757148057073329e3e9a%2112000035914810082%21sea%21BD%217350065947%21X%211%210%21n_tag%3A-29911%3Bd%3A8c992529%3Bm03_new_user%3A-29895&curPageLogUid=59cLichMrz6w&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006101637383%7C_p_origin_prod%3A","Aliexpress"
"TP4056 Charger Module","Battery charger",1,3.55,"https://www.aliexpress.com/item/1005006262287189.html?spm=a2g0o.productlist.main.1.73f71cc4pDs57U&algo_pvid=69a9bde8-74e3-46bb-8574-7df9415b9b9e&algo_exp_id=69a9bde8-74e3-46bb-8574-7df9415b9b9e-0&pdp_ext_f=%7B""order""%3A""42""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%219.06%214.53%21%21%2161.58%2130.79%21%4021015b7d17757146533082264ee3b7%2112000036515023531%21sea%21BD%217350065947%21X%211%210%21n_tag%3A-29911%3Bd%3A8c992529%3Bm03_new_user%3A-29895&curPageLogUid=KsUEozGNhTne&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006262287189%7C_p_origin_prod%3A","Aliexpress"
"GY-PCM5102","Audio driver",1,5.35,"https://www.aliexpress.com/item/1005010017736427.html?spm=a2g0o.productlist.main.11.53f13f3eOyw87Z&algo_pvid=746ec284-8fc8-46b6-8f61-e861c3706458&algo_exp_id=746ec284-8fc8-46b6-8f61-e861c3706458-10&pdp_ext_f=%7B""order""%3A""88""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%2111.15%215.35%21%21%2175.80%2136.38%21%40212e509017757145068088237e29f7%2112000050852711115%21sea%21BD%217350065947%21X%211%210%21n_tag%3A-29911%3Bd%3A8c992529%3Bm03_new_user%3A-29895&curPageLogUid=14JzWvrTfjKm&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010017736427%7C_p_origin_prod%3A","Aliexpress"
"ESP32-WROOM","MCU",1,7.72,"https://www.aliexpress.com/item/1005005953505528.html?spm=a2g0o.productlist.main.1.5a63323750GBfN&algo_pvid=199a657e-b5c0-4979-b3e2-6cec0082849a&algo_exp_id=199a657e-b5c0-4979-b3e2-6cec0082849a-0&pdp_ext_f=%7B""order""%3A""18643""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%217.75%217.72%21%21%2152.70%2152.48%21%40212a6e3217757142336056594ec110%2112000035007650505%21sea%21BD%217350065947%21X%211%210%21n_tag%3A-29911%3Bd%3A8c992529%3Bm03_new_user%3A-29895&curPageLogUid=CgSVFiw40SI6&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005953505528%7C_p_origin_prod%3A","Aliexpress"